epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,798.949,0.76094,4.49536,1.27078,0.4997,0.20217,0.14827,0.11593,0.8051,2.72242,1.29277,0.00333221,0.00333221,0.00333221
2,1562.61,0.82016,2.91708,1.27973,0.50017,0.34316,0.29769,0.23333,0.79441,2.01022,1.25631,0.00659956,0.00659956,0.00659956
3,2324.68,0.85864,2.5824,1.2897,0.53636,0.40189,0.39253,0.30951,0.77152,1.7063,1.24522,0.0098009,0.0098009,0.0098009
4,3085.73,0.83938,2.14806,1.27416,0.56441,0.49101,0.50111,0.40807,0.70334,1.36636,1.17198,0.009703,0.009703,0.009703
5,3844.94,0.79599,1.88763,1.24583,0.58829,0.53704,0.5543,0.45601,0.67754,1.25152,1.14783,0.009604,0.009604,0.009604
6,4618.36,0.7716,1.76461,1.2289,0.62496,0.54062,0.57657,0.47621,0.66251,1.19883,1.13145,0.009505,0.009505,0.009505
7,5389.37,0.75756,1.6844,1.21875,0.59243,0.57278,0.58711,0.48631,0.65477,1.17849,1.1247,0.009406,0.009406,0.009406
8,6156.08,0.74801,1.63067,1.21229,0.61312,0.56566,0.59523,0.49387,0.65119,1.16525,1.12059,0.009307,0.009307,0.009307
9,6919.16,0.74078,1.58993,1.20752,0.60294,0.58222,0.60246,0.49976,0.64869,1.15284,1.11764,0.009208,0.009208,0.009208
10,7682.88,0.73529,1.55837,1.20403,0.61101,0.58939,0.61144,0.50847,0.64578,1.13735,1.11543,0.009109,0.009109,0.009109
11,8450.54,0.73092,1.52816,1.20062,0.62994,0.58769,0.61985,0.51628,0.64261,1.11887,1.11206,0.00901,0.00901,0.00901
12,9218.08,0.7272,1.50557,1.19805,0.63354,0.59278,0.62963,0.52522,0.63801,1.09861,1.10684,0.008911,0.008911,0.008911
13,9980.7,0.72418,1.48492,1.19612,0.63573,0.60609,0.64025,0.53422,0.63421,1.07887,1.10244,0.008812,0.008812,0.008812
14,10744.7,0.72219,1.46675,1.19297,0.6418,0.61094,0.65041,0.5428,0.62997,1.05425,1.09778,0.008713,0.008713,0.008713
15,11508.4,0.71813,1.45423,1.19195,0.65466,0.61475,0.65981,0.5516,0.62511,1.03385,1.09277,0.008614,0.008614,0.008614
16,12273.1,0.71661,1.43673,1.19089,0.66593,0.61966,0.67038,0.56218,0.62231,1.01435,1.08975,0.008515,0.008515,0.008515
17,13040.1,0.71368,1.42091,1.18836,0.67329,0.62382,0.67756,0.56814,0.61908,0.99607,1.08646,0.008416,0.008416,0.008416
18,13804.4,0.71142,1.4139,1.18698,0.67382,0.6338,0.68571,0.5756,0.61669,0.97881,1.08422,0.008317,0.008317,0.008317
19,14567.5,0.71109,1.40349,1.187,0.68628,0.63164,0.68984,0.58017,0.61493,0.96268,1.08163,0.008218,0.008218,0.008218
20,15433.4,0.70753,1.38828,1.18425,0.68667,0.6414,0.69786,0.58716,0.61214,0.94662,1.07905,0.008119,0.008119,0.008119
21,16396.4,0.70698,1.38248,1.18375,0.68714,0.65128,0.70537,0.59434,0.61091,0.93273,1.07785,0.00802,0.00802,0.00802
22,17351.1,0.70565,1.36801,1.18384,0.69817,0.65634,0.71102,0.59906,0.60913,0.91953,1.07535,0.007921,0.007921,0.007921
23,18305,0.70495,1.35961,1.18239,0.70634,0.66377,0.71812,0.60647,0.60751,0.90573,1.07317,0.007822,0.007822,0.007822
24,19286.5,0.70426,1.34698,1.18222,0.71872,0.66261,0.72492,0.6128,0.60618,0.89292,1.07133,0.007723,0.007723,0.007723
25,20250.9,0.70074,1.33827,1.17911,0.73172,0.66139,0.73141,0.61847,0.60482,0.87834,1.06963,0.007624,0.007624,0.007624
26,21225,0.70063,1.32713,1.18017,0.73038,0.66253,0.73561,0.6228,0.60298,0.86559,1.06796,0.007525,0.007525,0.007525
27,22193.3,0.69879,1.31642,1.17788,0.73162,0.67065,0.74069,0.62761,0.60018,0.85329,1.06513,0.007426,0.007426,0.007426
28,23158.5,0.6964,1.30415,1.17634,0.73242,0.6742,0.74476,0.63161,0.59949,0.84366,1.06473,0.007327,0.007327,0.007327
29,24119.8,0.69464,1.29522,1.17496,0.73255,0.67887,0.74917,0.63607,0.5988,0.83616,1.06395,0.007228,0.007228,0.007228
30,25101.3,0.69528,1.28862,1.17685,0.72622,0.69164,0.7573,0.64336,0.59804,0.82788,1.06294,0.007129,0.007129,0.007129
31,26059.4,0.69121,1.28172,1.17332,0.74768,0.67771,0.76008,0.6458,0.59648,0.81999,1.06153,0.00703,0.00703,0.00703
32,27032.5,0.69003,1.27337,1.17236,0.74554,0.68769,0.76377,0.64983,0.59549,0.81344,1.0612,0.006931,0.006931,0.006931
33,27999.2,0.68987,1.26671,1.17207,0.7432,0.70165,0.76807,0.65334,0.59413,0.80704,1.06011,0.006832,0.006832,0.006832
34,28964.9,0.68856,1.26246,1.17153,0.75272,0.69426,0.7716,0.65617,0.59344,0.80237,1.05934,0.006733,0.006733,0.006733
35,29921.5,0.68733,1.25204,1.16959,0.75266,0.6941,0.77482,0.65928,0.59288,0.79698,1.05885,0.006634,0.006634,0.006634
36,30883.8,0.68645,1.24652,1.16946,0.74737,0.69842,0.77795,0.66237,0.5915,0.79229,1.05683,0.006535,0.006535,0.006535
37,31862.8,0.6839,1.23805,1.16743,0.7516,0.70506,0.78071,0.66468,0.58955,0.78719,1.05512,0.006436,0.006436,0.006436
38,32846.9,0.68248,1.23049,1.16693,0.75349,0.70612,0.78262,0.66728,0.58805,0.78108,1.05385,0.006337,0.006337,0.006337
39,33814.5,0.68267,1.22403,1.16764,0.75104,0.71261,0.78595,0.67061,0.58736,0.77825,1.05298,0.006238,0.006238,0.006238
40,34774.3,0.68181,1.22011,1.16773,0.76599,0.70562,0.78916,0.67333,0.58618,0.77413,1.05226,0.006139,0.006139,0.006139
41,35741.9,0.6791,1.21328,1.16513,0.76636,0.70849,0.79205,0.67609,0.58457,0.76996,1.05037,0.00604,0.00604,0.00604
42,36711.6,0.67762,1.20403,1.1634,0.76799,0.71102,0.79426,0.67793,0.58201,0.76579,1.04746,0.005941,0.005941,0.005941
43,37686.2,0.6774,1.19831,1.16388,0.75563,0.72014,0.79624,0.67998,0.58059,0.76202,1.04594,0.005842,0.005842,0.005842
44,38671.8,0.67715,1.19889,1.16428,0.75396,0.72036,0.7962,0.6799,0.58013,0.75977,1.04522,0.005743,0.005743,0.005743
45,39646.3,0.67639,1.19081,1.16228,0.7782,0.71052,0.79833,0.68157,0.58041,0.75795,1.04518,0.005644,0.005644,0.005644
46,40493.8,0.67375,1.18486,1.16028,0.77539,0.71633,0.80023,0.68381,0.57932,0.7532,1.0439,0.005545,0.005545,0.005545
47,41254.1,0.67291,1.17592,1.16026,0.7859,0.70782,0.80094,0.6855,0.57805,0.74927,1.04242,0.005446,0.005446,0.005446
48,42009.1,0.67188,1.16932,1.15964,0.77457,0.71752,0.80255,0.68582,0.57704,0.74853,1.04121,0.005347,0.005347,0.005347
49,42771.7,0.67049,1.16741,1.15829,0.78415,0.71344,0.80352,0.68698,0.5767,0.74689,1.04123,0.005248,0.005248,0.005248
50,43531.5,0.66741,1.16063,1.15738,0.77797,0.72066,0.80543,0.68894,0.57631,0.74366,1.04072,0.005149,0.005149,0.005149
51,44290.9,0.66719,1.15236,1.15607,0.78143,0.71858,0.80618,0.69015,0.57511,0.74135,1.0396,0.00505,0.00505,0.00505
52,45058.3,0.66549,1.14398,1.15569,0.78037,0.72386,0.80752,0.69141,0.57432,0.73819,1.03919,0.004951,0.004951,0.004951
53,45824.1,0.6647,1.14118,1.15472,0.7808,0.72644,0.80874,0.69248,0.57292,0.73447,1.03791,0.004852,0.004852,0.004852
54,46588.4,0.66217,1.13053,1.15255,0.76561,0.73734,0.80974,0.69358,0.57177,0.7308,1.03628,0.004753,0.004753,0.004753
55,47353.6,0.65947,1.12669,1.1523,0.7723,0.73235,0.81084,0.69512,0.57095,0.7283,1.03575,0.004654,0.004654,0.004654
56,48117.8,0.65726,1.11669,1.15026,0.77279,0.73309,0.81055,0.69538,0.56999,0.72719,1.03493,0.004555,0.004555,0.004555
57,48880.5,0.65734,1.11168,1.14983,0.77694,0.72539,0.80992,0.69617,0.56948,0.7235,1.03409,0.004456,0.004456,0.004456
58,49644.8,0.65627,1.11067,1.14904,0.76804,0.73621,0.81301,0.69911,0.56844,0.72063,1.03329,0.004357,0.004357,0.004357
59,50408.6,0.65503,1.10464,1.14849,0.76765,0.74215,0.81415,0.69999,0.56744,0.71647,1.03229,0.004258,0.004258,0.004258
60,51172.3,0.65394,1.0966,1.14791,0.78398,0.73057,0.81447,0.70177,0.56665,0.7131,1.03126,0.004159,0.004159,0.004159
61,51933.6,0.65054,1.08817,1.14543,0.77801,0.7374,0.81551,0.70263,0.5661,0.71109,1.03059,0.00406,0.00406,0.00406
62,52698.5,0.65001,1.08336,1.14547,0.77658,0.73953,0.81664,0.70423,0.56436,0.70792,1.02928,0.003961,0.003961,0.003961
63,53460.4,0.64936,1.08125,1.14521,0.77532,0.74466,0.81855,0.70591,0.56287,0.70591,1.02754,0.003862,0.003862,0.003862
64,54225,0.64778,1.07285,1.1431,0.77473,0.74874,0.82005,0.70683,0.5631,0.70412,1.02721,0.003763,0.003763,0.003763
65,54986.2,0.64623,1.06555,1.1428,0.77981,0.74495,0.82076,0.70814,0.56223,0.70267,1.02631,0.003664,0.003664,0.003664
66,55749.4,0.6441,1.05487,1.14086,0.77829,0.74658,0.82214,0.70976,0.56207,0.70092,1.02625,0.003565,0.003565,0.003565
67,56511,0.64075,1.04886,1.13891,0.77359,0.75087,0.82243,0.7105,0.56113,0.69858,1.02543,0.003466,0.003466,0.003466
