epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.411,0.90361,4.42249,1.38122,0.47544,0.13146,0.05586,0.03973,0.89438,3.08366,1.35697,0.00332752,0.00332752,0.00332752
2,253.872,0.90067,3.27342,1.35238,0.31861,0.17147,0.09316,0.06349,1.08535,2.96825,1.54578,0.00659491,0.00659491,0.00659491
3,374.152,0.96959,2.98161,1.38853,0.3048,0.21961,0.10303,0.06673,1.11526,3.22776,1.61087,0.0097963,0.0097963,0.0097963
4,494.024,0.98398,2.6858,1.39451,0.23292,0.21711,0.11802,0.08245,1.03418,3.02938,1.51576,0.009703,0.009703,0.009703
5,618.168,0.92271,2.37098,1.35389,0.34251,0.33533,0.26982,0.20258,0.93803,2.28077,1.41038,0.009604,0.009604,0.009604
6,743.371,0.88787,2.19856,1.32841,0.46535,0.32387,0.31608,0.23595,0.86542,2.06976,1.33176,0.009505,0.009505,0.009505
7,865.769,0.85927,2.07205,1.30541,0.47142,0.37779,0.37049,0.284,0.84962,1.86929,1.30841,0.009406,0.009406,0.009406
8,985.214,0.84355,1.98588,1.29081,0.50101,0.41717,0.41343,0.31976,0.82364,1.77835,1.30232,0.009307,0.009307,0.009307
9,1108.37,0.82285,1.90561,1.27661,0.50287,0.43164,0.43601,0.34231,0.77985,1.69972,1.2614,0.009208,0.009208,0.009208
10,1234.95,0.80927,1.84593,1.27102,0.58265,0.43687,0.4668,0.36681,0.77178,1.62722,1.23796,0.009109,0.009109,0.009109
11,1360.79,0.80328,1.78996,1.26173,0.50944,0.47317,0.48435,0.38046,0.77334,1.57756,1.24085,0.00901,0.00901,0.00901
12,1487.08,0.78902,1.74119,1.25253,0.57918,0.47352,0.52325,0.41855,0.73257,1.50378,1.19981,0.008911,0.008911,0.008911
13,1612.74,0.78595,1.69198,1.2476,0.56038,0.52508,0.55688,0.44773,0.72693,1.36751,1.20031,0.008812,0.008812,0.008812
14,1738.6,0.77408,1.65219,1.24228,0.62224,0.53342,0.59315,0.48213,0.70855,1.289,1.18835,0.008713,0.008713,0.008713
15,1864.88,0.76944,1.61036,1.23516,0.60591,0.5675,0.60411,0.49538,0.69906,1.27583,1.16958,0.008614,0.008614,0.008614
16,1990.99,0.76488,1.58198,1.23103,0.64681,0.56678,0.63349,0.51945,0.69239,1.20234,1.17183,0.008515,0.008515,0.008515
17,2116.78,0.75895,1.54993,1.22813,0.65847,0.57912,0.64477,0.52854,0.67906,1.17,1.15089,0.008416,0.008416,0.008416
18,2237.15,0.7536,1.52411,1.22464,0.62449,0.63822,0.66407,0.54972,0.66977,1.14632,1.14612,0.008317,0.008317,0.008317
19,2356.5,0.74962,1.48709,1.22117,0.69694,0.60695,0.68537,0.56614,0.66745,1.09941,1.14091,0.008218,0.008218,0.008218
